"Louis, Family",West,C,12,THE LOUIS FAMILY,DAN LISA,MATT ELIZABETH,
"Louis, Lisa",West,C,12,IN MEMORY OF,EMMA AND LENDELL,FRANKLIN,
"Louis, Lisa",West,C,12,IN MEMORY OF,OMA AND EARL BOWLING,GARY JOYCE MIKE GREG,
Monnin Family,West,C,12,THE MONNIN FAMILY,"MIKE, TERESA",RACHEL & LIZ,
"Sams, Jonathan",West,C,12,FAIR WINDS&FOLLOWING,SEAS JONATHAN AND,JULIA SAMS,
"Spaeth, Barb",West,C,13,BARB AND JOHN SPAETH,"TORI BERRY, REBECCA","DAN, BRITTANY SPAETH",
"Sweeten, Gary",West,C,13,GARY & KAREN SWEETEN,GOD BLESS AMERICA,AND MASON,
Hansen Family,West,C,13,HANSEN FAMILY,ERIC & MELISSA,KATHERINE & KORA,
Hansen Family,West,C,13,HANSEN FAMILY II,ERIC & MELISSA,KALLEN & KENSINGTON,
Luther Family,West,B,1,THE LUTHER FAMILY,OHIO NATIONAL GUARD,,
"Weeks, Leon",West,B,1,DELORIS AND LEON,WEEKS,WITH GRADITUDE,
"Weitzel, Delana",West,B,1,DELANA AND KRISTINA,WEITZEL,GOD BLESS AMERICA,
Wilt Family,West,B,1,RAY AND DEE WILT,AND FAMILY,PATRIOTS,
"Wilt, Ray",West,B,1,RAY WILT,A YANKEE,DOODLE DANDY,
"Herrlinger, Andrew  ",West,B,2,THE ,ANDREW SHEPHERD,HERRLINGER FAMILY,
"Herrlinger, Harry",West,B,2,THE ,HARRY WILLIAM,HERRLINGER FAMILY,
"Laymon, Robert L.",West,B,2,ROBERT L. LAYMON,AND,FAMILY,
"Spaeth, Les",West,B,2,LES & ELLEN SPAETH,FAMILY,,
"Spaeth, Leslie  ",West,B,2,IN MEMORY OF,LESLIE AND ALLIE,SPAETH,
"Colerain Hi School, Bill",West,B,3,BILL,COLERAIN HI SCHOOL,"CLASS OF ""33",
"Colerain Hi School, Cy",West,B,3,CY,COLERAIN HI SCHOOL,"CLASS OF ""33",
McCurley Family,West,B,3,THE MCCURLEY FAMILY,JOHN & SHERRY,DEAN & JAMIE,
"McCurley, Bill ",West,B,3,BILL AND BETTY,MCCURLEY,,
"Muennich, Sam",West,B,3,"SAM, JENNIFER",DILLON & TIFFANY,MUENNICH,
"Al-Saich, Taylor",West,B,4,"TAYLOR, KAYLEE AND",REGAN AL-SAICH,"FT. WORTH, TEXAS",
"Krell, Dylan",West,B,4,DYLAN KRELL,"SANTA FE, NEW MEXICO",,
"Krell, Grandma",West,B,4,GRANDMA & KIGRANDPA,KRELL,"DENVER, COLORADO",
"Krell, Keegan",West,B,4,"KEEGAN, MASON AND",LANDON KRELL,"SCOTTSDALE, ARIZONA",
"Krell, Mike",West,B,4,"MIKE, CARLA, MADISON",AND PEYTON KRELL,"MASON, OHIO ",
"Chesney, Harry Jr.",West,B,5,HARRY CHESNEY JR.,SARGEANT  ,MASON POLICE DEPT,
"Hartinger, Paul",West,B,5,PAUL AND LISA,HARTINGER,AND FAMILY,
"Hartinger, Roger",West,B,5,ROGER HARTINGER,AND FAMILY,,
Moushey Family,West,B,5,THE MOUSHEY FAMILY,"DAVE, MISSY, LAUREN","ALEX, BEN, SAM",
"Williams, Don",West,B,5,DON & PAT WILLIAMS,AND FAMILY,,
"Busch, Cassia ",West,B,6,GOD BLESS AMERICA,CASSIA BUSCH AND,CALISTA BUSCH,
"Busch, Shawn",West,B,6,GOD BLESS THOSE WHO,FOUGHT FOR FREEDOM,SHAWN AND MINA BUSCH,
"Cook, Harry",West,B,6,IN MEMORY OF,HARRY COOK,MASON LIONS CLUB,
"Pace, Vern",West,B,6,IN MEMORY OF,VERN PACE,MASON LIONS CLUB,
"Strosnider, Cy",West,B,6,IN MEMORY OF,CY STROSNIDER,MASON LIONS CLUB,
Inderhees Family,West,B,7,THE INDERHEES FAMILY,"DON, RHONDA & DANNY",,
Langen Family,West,B,7,THE LANGEN FAMILY,"DAN, TAMI,",MICHAEL ANDREW,
"Meyer, Edward F.",West,B,7,EDWARD F. MEYER,AND,FAMILY,
"Myers, Rhonda",West,B,7,COL. RHONDA MYERS,JENNINE MYERS,GOD SPEED AMERICA,
Rabah Family,West,B,7,"IN HONOR OF AUSTIN,",ALEX & BRANDON RABAH,GOD BLESS AMERICA,
Janis Family,West,B,8,THE JANIS FAMILY,GOD BLESS AMERICA,,
"Johnson, Steve",West,B,8,"STEVE, LINDA",ALEX AND ABIGAIL,JOHNSON 2003,
"Lahrmer, Beau",West,B,8,BEAU,CHANDLER,LAHRMER,
"Lutz, Greg",West,B,8,MR & MRS GREG LUTZ,GREGORY & BRANDON,LUTZ,
"Peraza, Robert D.",West,B,8,ROBERT D. PERAZA,5-26-71 - 9-11-01,1 WTC FLOOR 104,
"Hill, Greg",West,B,9,"GREG, SHARON",IAN AND LEEDS,HILL,
Jaiswai Family,West,B,9,JAISWAI FAMILY,RAMA K. & NEELAM,SIDD & ROHIT,
Kantor Family,West,B,9,WITH OUR,APPRECIATION,THE KANTOR FAMILY,
Marian / Walker,West,B,9,THANKS VETERANS FROM,RICHARD MARIAN,AND TOM WALKER,
"Mollman, Don",West,B,9,THANK YOU,DON MOLLMAN,FAMILY,
"Clasen, Jack",West,B,10,JACK AND DIANE,CLASEN,,
"Holland, Lynn",West,B,10,LYNN &,KEN,HOLLAND,
"Hurd, Smokey",West,B,10,SMOKEY HURD,US MERCHANT MARINES,WWII,
"Hutchinson, William G.",West,B,10,WILLIAM G.,HUTCHINSON,FAMILY,
"Kaplan, Matthew",West,B,10,"MATTHEW, RYAN, JASON","RICH, DEBI KAPLAN",GOD BLESS AMERICA,
Kirch Family,West,B,11,GOD BLESS AMERICA,THE KIRCH FAMILY,,
"Manns, Don",West,B,11,"DON, LAURIE, FALON",BRIANNA MANNS & NANA,2002,
